target,file,filter,ra,dec,x,y,mag_aper,e_mag_aper,dist,snr
J043603.38+222714.7,iexn51010_drc.fits,F814W,69.01399083704015,22.454017131070607,760.3914011968682,861.539790192967,24.313096424507474,0.1503106951713562,11.37830944059956,7.635154724121094
J043603.38+222714.7,iexn51020_drc.fits,F850LP,69.01366058085057,22.452628599409163,642.4947820343489,915.4827368207001,23.347371282307513,0.19082657992839813,133.49246827183424,7.2909040451049805
J043442.71+225743.0,iexn52010_drc.fits,F814W,68.67799384762355,22.961868465021073,769.6364459761807,851.4369131038223,24.99363422472987,0.2677929103374481,18.635078495890493,23.988109588623047
J043442.71+225743.0,iexn52020_drc.fits,F850LP,68.67799220442646,22.961869131831513,769.1856763350745,851.8407693865058,22.947086863026207,0.12840119004249573,18.197897813913002,20.805150985717773
J043606.80+242549.5,iexn53010_drc.fits,F814W,69.02835805264723,24.43034432500943,769.7572988880644,869.1032410214441,20.83911239187881,0.006076612044125795,1.9728852089295401,777.5470581054688
J043606.80+242549.5,iexn53020_drc.fits,F850LP,69.02835796595296,24.430344741956393,769.5665746289313,869.5028723330719,19.670289589102616,0.006459312979131937,1.6435607640841112,666.7938232421875
J042705.86+261520.3,iexn54010_drc.fits,F814W,66.77443071618748,26.25554724625119,775.9393881669686,859.2868802839291,21.22379497972386,0.008218969218432903,13.33434732248516,413.1323547363281
J042705.86+261520.3,iexn54020_drc.fits,F850LP,66.77443091952345,26.25555415066409,775.3590326315681,859.6900307648333,20.284121854251524,0.010909870266914368,12.666918603297638,302.9298400878906
J042830.01+235848.1,iexn56010_drc.fits,F814W,67.1250939633431,23.98002190252274,771.518239356305,867.6682742577287,19.892332026563142,0.0025224625132977962,4.22077636287732,1819.62744140625
J042830.01+235848.1,iexn56020_drc.fits,F850LP,67.12509697286482,23.98001562855106,771.2161076852733,868.0269305010903,18.662731155922465,0.0025617440696805716,3.7731090483580965,1693.382568359375
J042630.56+244355.5,iexn57010_drc.fits,F814W,66.6273624812297,24.732038319931807,772.6450026690364,860.660815015385,18.566279100221433,0.0007177291554398835,10.430552524780964,6013.2666015625
J042630.56+244355.5,iexn57020_drc.fits,F850LP,66.62736019837357,24.732045682822964,772.1611709095665,860.9675938938881,17.38892947181975,0.0007767825154587626,9.944833000324872,5503.88134765625
J041548.09+291132.9,iexn59010_drc.fits,F814W,63.95038724767998,29.19244719052821,771.3560662275751,869.8792642377089,19.49570396357039,0.0017052661860361695,3.3582372828860656,2707.892578125
J041548.09+291132.9,iexn59020_drc.fits,F850LP,63.95038888683505,29.192447481955497,771.1255428082833,870.2590437720048,18.268470637267242,0.0017546545714139938,3.136259160564676,2408.281494140625
J042728.00+261204.7,iexn60010_drc.fits,F814W,66.86668417969601,26.201262535847967,770.4749336517796,868.1940872252738,19.229156132174094,0.0013590487651526928,3.06375872591659,3397.83349609375
J042728.00+261204.7,iexn60020_drc.fits,F850LP,66.86668565273663,26.201261517967094,770.1603214679558,868.6340022294609,17.93286199412978,0.0012871242361143231,2.5559614148160614,3282.342041015625
